,Estilo,Platos,Postres,Quesos,Temperatura,Vaso/Copa
12,Abbey Tripel,"Comida condimentada, pastel de cangrejo, faisán o pavo asado.","Postres sin chocolate, tarta de durzano y/o amaretto, baklava o tarta Linzer.",Triple-crème como St. Andre o Exlorateur.,"4,5-7 °C.",Copa Tulipa.
13,Strong Golden Ale,"Comida condimentada, pastel de cangrejo, faisán o pavo asado.","Postres sin chocolate, tarta de durzano y/o amaretto, baklava o tarta Linzer.",Triple-crème como St. Andre o Exlorateur.,"4,5-7 °C.",Copa Tulipa.
14,Old Ale,"Platos intensos como roast beef o cordero, grillado o asado.","Tarta de ciruelas y nueces, canollis clásicos y manzanas toffe crujientes.",Gloucester doble u otro queso enriquecido y moderadamente envejecido.,"4,5-7 °C.",Copa Snifter.
15,Strong Ale,"Platos intensos como roast beef o cordero, grillado o asado.","Tarta de ciruelas y nueces, canollis clásicos y manzanas toffe crujientes.",Gloucester doble u otro queso enriquecido y moderadamente envejecido.,"4,5-7 °C.",Copa Snifter.
16,Barley Wine,"Vence fácilmente a platos principales, mejor con queso y postres.","Postres dulces y sabrosos: torta de chocolate y avellanas, cheesecake de caramelo y toffee.",Stilton y Walnut son clásicos.,10-13 °C.,Copa Snifter.
17,Porter,"Comida asada o ahumada: barbacoa, salchichas, carne asada, pescado ahumado.","Galletas de chocolate y mantequilla de maní, galletas en barra de coco tostado.",Quesos de vaca como Tilsit o Gruyère.,10-13 °C.,Pinta Americana.
18,Dry Stout,"Comidas abundantes y sabrosas: filete, pastel de carne, ostras crudas.","Soufflé de chocolate, tiramisú, mousse de mocca mascarpone.",Quesos irlandeses típicos como el Cheddar Dubliner.,10-13 °C.,Pinta Guinness.
19,Sweet Stout,"Comida sabrosa y especiada como asado de res, comida mexicana o china.","Torta de chocolate expreso, crema aireada, o profiteroles.",Genial con un Cheddar envejecido y mantecoso.,10-13 °C.,Pinta Americana.
20,Oatmeal Stout,"Comida sabrosa y especiada como asado de res, comida mexicana o china.","Torta de chocolate expreso, crema aireada, o profiteroles.",Genial con un Cheddar envejecido y mantecoso.,10-13 °C.,Pinta Americana.
21,Imperial Stout,"Vence fácilmente a platos principales, pero da solidez al foie gras y al ganzo ahumado.","Trufas de chocolate amargo, pastel de mousse chocolate y frambuesa.",Quesos largamente envejecidos: Gouda Parmesano o Cheddar.,10-13 °C.,Copa Snifter.
22,Hefeweizen,"Comidas livianas, ensaladas, productos del mar, sushi, salchichas blancas (weisswurst).","Pastelitos de frambuesa, un poco de fruta u otro postre muy liviano; perfecta con pie de limón.",Queso de cabra simple o condimentado con hierbas como el Boursin.,"4,5-7 °C.",Vaso Pilsen.
23,Wheat Ale,"Bien con comidas muy ligeras: ensaladas, sushi, platos vegetarianos.",Berries frescos o compota de frutas.,Mozzarella Buffalo o Brick Wisconsin.,"4,5-7 °C.",Pinta Americana.
24,Witbier,"Productos de mar livianos, clásica con mejillones al vapor.","Crèpes de banana y naranja, sorbete de sangria, pannacotta con limón.",Queso Mascarpone o queso condimentado con hierbas en galletas crackers.,"4,5-7 °C.",Vaso Jelly.
25,Dunkelweizen,"Ensaladas contundentes, pollo o cerdo asado, salchichas fuertes.","Torta de papas dulce, strudel de durazno y nuez, pie de limón.",Quesos de cabra maduros y blandos o Gouda ahumado.,7-10°C.,Vaso Pilsner.
26,Weizenbock,"Cerdo asado, filete, jamón ahumado o aves de caza.","Tarta de manzana caramelizada, torta de piñones y frutos secos, souflée de banana.",Queso Provolone envejecido o Manchego Español.,7-10°C.,Copa Pokal.
27,Pilsner,"Excelente con comidas livianas: pollo, ensaladas, salmón o salchichas alemanas.","Postres livianos, mantecado de banana, fresas frescas con sabayón.",Cheddar Vermont blanco y suave.,"4,5-7 °C.","Vaso Pilsner, Mug."
28,Helles,"Comidas livianas: ensaladas, productos del mar, cerdo, comidas condimentadas asiaticas o latinas.","Postres livianos, arandanos, pastel de manzana y arandanos.",Queso Butterkäse o algún otro suave y liviano.,"4,5-7 °C.",Vaso Flauta.
29,Dortmunder,"Comidas livianas: ensaladas, productos del mar, cerdo, comidas condimentadas asiaticas o latinas.","Postres livianos, arandanos, pastel de manzana y arandanos.",Queso Butterkäse o algún otro suave y liviano.,"4,5-7 °C.",Vaso Flauta.
30,Oktoberfest,"Comida mexicana, o cualquiera abundante y condimentada, pollo, salchichas, cerdo.","Flan de coco o mango, pan dulce con almendras, pastel de piñones.",Hamburguesa de queso y jalapeños (Spicy Jalapeño Jack).,7-10°C.,Mug.
31,Märzen,"Comida mexicana, o cualquiera abundante y condimentada, pollo, salchichas, cerdo.","Flan de coco o mango, pan dulce con almendras, pastel de piñones.",Hamburguesa de queso y jalapeños (Spicy Jalapeño Jack).,7-10°C.,Mug.
32,Vienna,"Comida mexicana, o cualquiera abundante y condimentada, pollo, salchichas, cerdo.","Flan de coco o mango, pan dulce con almendras, pastel de piñones.",Hamburguesa de queso y jalapeños (Spicy Jalapeño Jack).,7-10°C.,Mug.
33,Amber Lager,"Comida abundante y condimentada, barbacoa, hamburguesas, ají.","Budin de maracuya, peras escalfadas..","Cheddar blanco, Jack o Brick.",7-10°C.,Pinta Americana.
34,Dark Lager,"Comida abundante y condimentada, barbacoa, salchichas, carne asada.","Tarta de granada y nueces, torta de peras y jengibre confitado.",Munster de corteza lavada.,7-10°C.,Mug.
35,Dunkel,"Comida abundante y condimentada, barbacoa, salchichas, carne asada.","Tarta de granada y nueces, torta de peras y jengibre confitado.",Munster de corteza lavada.,7-10°C.,Mug.
36,Schwarzbier,"Comida abundante y condimentada, barbacoa, salchichas, carne asada.","Tarta de granada y nueces, torta de peras y jengibre confitado.",Munster de corteza lavada.,7-10°C.,Mug.
37,Maibock / Pale Bock,"Comida condimentada como Thai o Coreana, pollo frito.","Strudel de manzana y almendras, cheescake de chocolate blanco, souflée de nuez y miel.",Emmental suizo.,7-10°C.,Copa Pokal.
38,Doppelbock,"Comida  sabrosa como pato o cerdo asados, excelente con carnes embutidas.","Torta de chocolate, selva negra, tarta de frutos secos.",Limburger.,7-10°C.,Copa Snifter.
